TI,SI
0.173800,93.128822
0.125865,93.120430
0.025511,93.119759
0.070832,93.117996
0.062569,93.116631
0.028480,93.116608
0.023103,93.116531
0.017553,93.116577
0.029378,93.116577
0.211281,93.006325
0.068781,93.006691
0.009316,93.006660
0.048793,93.010681
0.049023,92.943871
0.013975,92.944092
0.016533,92.943253
0.011784,92.943787
0.049067,92.939705
0.010825,92.939667
0.009316,92.939636
0.009316,92.939667
0.048979,92.938911
0.010825,92.938873
0.009316,92.938843
0.009316,92.938873
0.048979,92.872025
0.010825,92.871986
0.009316,92.871964
0.009316,92.871986
0.010825,92.872025
0.016535,92.871941
0.009316,92.871910
0.011023,92.871948
0.013010,92.872002
0.019871,92.872009
0.025334,92.873383
0.010622,92.873444
0.012672,92.873535
0.000000,92.873535
0.010825,92.873489
0.009316,92.873444
0.009316,92.873489
0.013661,92.873535
0.010825,92.873489
0.009316,92.873451
0.009316,92.873489
0.010825,92.873535
0.010825,92.873489
0.009316,92.873451
0.009316,92.873489
0.010825,92.873535
76.079811,71.765541
23.899208,71.247749
22.090218,71.024590
22.064209,69.562729
27.607618,68.665054
28.835474,68.753136
29.210896,71.145325
27.254663,70.871429
30.145811,69.934486
28.824003,68.662247
26.878035,68.939308
25.999758,69.302788
24.858232,71.098282
21.344854,71.842644
22.181618,71.192291
24.947212,71.153839
23.433111,72.078911
20.268625,72.660446
19.237411,72.968903
24.023857,71.887589
27.812775,71.203529
29.177629,70.375763
29.104300,68.274483
27.793673,68.622414
26.465017,69.212990
26.045383,68.917999
25.564962,68.408173
25.497303,66.889648
26.989248,67.559441
25.368196,68.742882
62.605270,69.446297
6.642851,69.014702
6.345135,68.926346
5.905171,68.746193
10.896094,69.300446
6.372341,69.112801
6.873589,69.000977
7.373197,69.090248
7.264438,69.587341
7.196749,69.340919
7.222390,69.804703
13.236022,70.702080
8.228633,70.849014
8.249533,70.639351
8.169089,70.878571
7.629899,71.465729
6.636695,71.574448
6.017729,71.470306
10.531741,71.655655
5.964536,71.550186
6.973508,72.164856
8.028884,71.793686
8.246387,72.017540
9.300016,72.102463
9.991163,72.619965
64.709267,69.600060
17.415808,69.412102
27.740408,70.144142
21.702652,70.726730
7.304168,70.817253
24.649162,71.010330
21.431887,71.407814
19.032869,71.503296
28.500124,70.034241
21.139633,69.210106
15.817057,67.862198
23.212631,64.289780
15.421813,65.060432
10.226418,64.917923
19.130461,63.313339
17.512583,62.590107
14.536917,61.950180
23.257936,63.152863
18.542135,62.795742
15.120725,62.640862
12.150480,63.548992
34.957523,64.173302
19.883936,66.337753
20.754318,69.027603
20.254156,70.909149
9.917793,71.045189
10.512077,71.377808
21.205027,70.908669
18.609512,70.532394
25.081717,70.337181
59.509468,84.797905
22.885883,84.863541
25.347977,85.318047
26.647282,85.721306
27.639542,88.116234
26.467804,89.127831
26.682661,87.882271
29.220039,88.036476
29.794086,89.447800
28.993084,90.142044
29.434641,88.636993
27.569605,87.668159
24.087564,85.460121
22.618717,85.448975
25.234297,84.911140
25.378065,84.719994
25.440670,87.419586
49.935349,89.569771
22.850399,88.456184
24.241188,89.585968
24.642765,88.671158
24.865833,89.743401
25.945704,88.911064
26.292042,89.980621
27.337122,88.499222
28.297249,89.915840
28.752048,88.748642
30.538530,89.227737
32.828735,89.440033
29.479277,89.714218
29.801445,91.727768
27.955034,92.354065
26.874716,93.580734
28.040035,93.011894
27.831860,94.661224
25.778263,94.284096
25.744667,95.060112
26.439182,94.038879
24.941729,93.633308
59.499439,86.989288
31.703396,86.077065
30.643091,84.722130
30.497046,83.567429
31.783222,82.920525
31.969948,82.391762
31.312107,81.941559
29.967754,81.429878
29.604095,81.552956
28.225103,78.476082
26.821522,78.820747
27.286694,77.221443
27.408497,77.781044
28.409069,75.494125
27.506395,78.209702
26.795816,77.017967
27.498796,75.999519
28.260666,75.394592
52.191513,93.251381
26.657993,91.657646
28.836102,91.400124
30.972481,93.774399
29.722746,94.450500
29.217625,95.146805
27.013861,95.896538
26.954149,93.584862
28.579788,93.765091
26.587942,93.802567
28.645967,92.327148
28.323372,92.921623
27.975960,91.592209
25.546515,92.550140
26.040756,92.197037
23.099308,92.015656
25.502254,92.541145
24.100977,92.416252
24.463760,92.211060
25.289471,91.280693
24.546694,91.183449
26.636610,89.938438
25.856873,88.210495
64.655655,52.376656
15.644729,53.098114
14.974862,52.910572
14.554048,52.405727
15.172146,52.441082
14.863042,52.562172
14.918184,52.614223
15.156669,52.874191
14.339634,51.461231
12.746754,51.406925
10.995728,51.175007
10.986561,51.659443
12.568979,52.293324
13.961656,52.986565
15.361713,53.285946
16.873934,53.414093
17.617939,53.774433
18.739561,53.978611
17.655802,54.767921
18.345011,54.409813
16.115034,54.702881
16.454256,55.536366
15.401126,56.189011
16.783453,56.691555
18.127132,57.027069
20.516512,59.476353
21.741341,61.969185
22.287312,64.028412
16.308390,64.766388
20.252958,65.074944
22.730181,65.582245
23.428209,63.325142
22.028240,60.339767
21.667048,60.454014
20.971409,61.921768
18.325430,63.359272
20.400675,65.584946
81.109512,82.723351
16.026817,81.612885
17.640013,82.006035
18.371408,81.592979
15.966231,84.215157
17.917389,81.859245
15.173549,81.389648
15.578751,80.545555
13.045324,80.735825
11.727971,80.260948
13.540085,79.531418
8.744427,80.091850
9.217287,79.712242
13.401250,79.625000
7.424810,80.678474
11.159408,80.286041
12.523978,80.410538
10.389414,80.519501
12.006895,79.756332
12.840178,79.322639
11.060923,79.925362
9.904163,78.949028
12.409093,79.173637
13.280852,80.375465
11.473107,79.972649
13.923889,80.036598
12.688960,79.650093
62.869774,71.539742
3.474958,71.525330
3.443474,71.502785
3.496701,71.501335
3.720332,71.549210
3.902214,71.543457
4.118337,71.572563
4.496706,71.622978
4.966375,71.648186
5.301313,71.512589
5.551402,71.390007
5.819777,71.274750
6.126518,70.987991
6.446246,70.514481
7.497393,69.914154
8.108547,68.904800
7.479815,67.857407
6.838574,67.581467
6.383802,67.404945
6.438147,67.145615
6.073320,67.127625
6.023335,67.181412
6.271728,67.322586
6.520679,67.286255
7.000625,67.387787
7.569131,67.521652
8.240862,67.561401
7.691783,67.466377
7.607573,67.441933
7.768959,67.274399
8.573971,66.958984
8.700803,66.567284
64.157005,66.006554
14.478161,65.703003
15.753390,65.602898
15.156386,65.243027
16.094194,65.671417
16.024359,65.922119
15.991978,66.316795
16.769629,66.595276
15.572371,67.397163
18.008244,67.260071
20.136263,68.282944
18.329357,67.645027
15.503716,68.222420
14.425724,68.689941
13.374500,69.023010
12.380419,68.802292
11.609694,69.437180
12.272145,68.777779
13.325566,68.841980
14.710434,69.029854
15.764650,68.780197
15.012946,67.998352
14.732533,67.650284
14.538832,67.741997
13.938235,68.041565
13.099753,67.667816
14.927297,67.624992
14.029715,67.423836
13.088194,68.011818
13.934282,67.782799
14.251606,68.410065
15.370694,68.477043
16.574717,68.944733
16.179510,68.700287
16.347580,69.113899
16.286743,69.393875
73.224976,76.703766
23.167788,78.388832
19.792725,78.739586
23.483896,80.325867
22.455147,81.281502
21.973175,82.893471
21.502836,84.355530
26.388449,78.045853
24.671089,86.606422
21.361410,86.551292
20.161640,87.404877
18.938166,85.522598
21.703243,85.194839
20.287672,85.086266
59.380215,78.712128
21.866377,74.451538
22.897408,74.257980
21.766239,72.770233
19.713055,72.698654
23.611542,70.257225
20.482864,71.503967
23.590725,68.572083
21.258041,70.357826
22.965313,66.443237
24.067974,65.766861
22.898104,69.444885
22.711613,72.836151
26.872915,70.395416
29.043360,70.737640
26.680742,74.773422
27.653543,71.094803
24.331110,73.899345
23.595274,74.990570
26.468721,75.306206
22.081743,75.802223
23.054155,76.318581
59.895786,67.579910
14.947461,67.151398
11.954327,67.301041
14.429572,67.825638
14.454390,67.844505
18.898666,67.544441
24.635490,67.429390
20.899130,67.309280
14.495948,67.723679
11.035992,67.996155
10.623351,67.665077
13.497590,68.095284
16.076149,67.729401
16.957705,67.827766
19.134636,66.455193
18.324955,66.437202
21.741198,64.255623
25.688755,57.590191
24.146439,56.810791
20.737349,57.200085
17.633820,57.593987
16.666801,57.846699
18.648413,57.429707
17.788305,58.375477
12.221697,58.015713
18.240051,56.043461
22.734087,55.873608
21.243567,55.351559
21.632639,55.087402
21.188759,55.140858
18.815302,55.14
